vowel_token,count
MI,135
LI,106
ZO,104
NA,99
NO,99
TA,99
RI,98
RA,92
RO,88
PI,85
LA,83
CO,69
TI,69
LO,68
DO,67
XA,66
NI,65
ME,63
MA,62
VA,58
CA,57
DI,57
SO,56
PRO,53
XI,53
CI,48
LE,47
VI,44
RE,42
TO,42
FE,40
BI,40
VE,40
CLO,40
SA,38
TE,37
BA,36
TRO,36
MO,36
MY,36
DA,36
ZI,35
PE,34
SI,33
SE,30
FI,30
STA,29
DE,29
ZE,28
NE,28
VO,28
GA,27
FA,26
PA,25
PRA,24
DRO,23
ZA,23
FLU,22
BE,21
TRA,20
PRE,20
XE,20
CE,19
BU,19
SU,19
PO,18
CAI,17
STE,17
THA,16
TRI,16
LCI,15
XO,15
LU,15
TRE,15
STO,14
RBA,14
STI,13
THY,13
GE,13
LLI,13
FLO,12
FO,12
GLI,12
RBI,12
NDA,12
LY,12
RU,11
KA,11
ZY,11
PRI,11
THRO,11
NTA,11
BRA,11
DNI,11
LFA,10
XY,10
TY,10
CLI,10
THO,10
NCI,10
PTO,10
CY,10
PY,9
GLU,9
FU,9
BO,9
QUI,8
CRO,8
PLA,8
TU,8
MU,8
NSO,8
LMI,8
GI,7
PHY,7
SY,7
THI,7
NTO,7
CTO,7
NZA,7
LEU,7
LCY,6
NZO,6
KI,6
CTI,6
NU,6
GRE,6
GLY,6
RME,6
NLA,6
NTE,6
NCO,6
RBO,6
RVA,6
CHLO,6
VU,6
RY,6
VY,5
STRO,5
RCA,5
LDE,5
PU,5
MCI,5
FY,5
GRA,5
LVA,5
XTRO,5
NTRO,5
LVE,5
RTE,5
MFE,5
KO,5
THE,5
NY,5
LTA,5
MBI,5
NGO,4
LSA,4
RRO,4
RCAI,4
RNI,4
NSE,4
SPE,4
NDRO,4
XTE,4
LPRE,4
THIA,4
NTI,4
PHRI,4
U,4
LTI,4
JU,4
NFA,4
RPHE,4
LTE,4
LCA,4
DIO,4
CLA,4
GO,4
RGE,4
RLI,4
MPA,4
RTI,4
DIA,4
SPO,4
NDO,4
NDE,4
HE,4
RCE,4
PHE,4
RVE,4
MIE,3
PHA,3
CRA,3
GRI,3
CRI,3
CHO,3
LSU,3
CHNE,3
NSI,3
BLO,3
DRI,3
NLE,3
SLO,3
RMU,3
LUE,3
LDO,3
RZO,3
LLA,3
SIO,3
NRE,3
RDIO,3
MVA,3
CCI,3
A,3
SSI,3
CU,3
MTE,3
NCA,3
HA,3
SPLA,3
RSE,3
MBO,3
DRA,3
LCHI,3
BRE,3
KE,3
FLA,3
GMI,3
TRIE,3
ROU,3
LBU,3
PSO,3
NDI,3
RDE,3
QUO,3
NHY,3
STEI,3
HI,3
STRA,3
RTRA,3
FDI,3
XZO,3
THIO,3
SVE,3
MLI,3
ZU,3
VAY,3
RVI,2
RNA,2
RMA,2
NVE,2
QUE,2
XYU,2
NCY,2
NZE,2
MPRI,2
RSA,2
KY,2
BSO,2
NJA,2
NIA,2
SRE,2
RFE,2
CTA,2
PREE,2
MZE,2
RDIA,2
PTA,2
NJU,2
RHO,2
XME,2
LBI,2
XPI,2
MSI,2
LRE,2
RLU,2
BLI,2
STRI,2
SVI,2
RIA,2
DNA,2
NVO,2
VTE,2
LEE,2
DEO,2
CFI,2
NCHI,2
RZU,2
LGA,2
SCA,2
SCO,2
TAI,2
SKI,2
DLI,2
BRO,2
MFI,2
BY,2
NSU,2
PBOU,2
RDI,2
RDA,2
LSO,2
STY,2
MPE,2
SDU,2
LTO,2
RCO,2
FTRIA,2
