vowel_token,count
ME,81
CA,71
DE,60
RE,55
TE,55
CE,46
CO,46
LE,43
PRO,43
LI,42
VI,42
VA,42
TA,40
MI,38
DA,37
NI,37
DI,35
VE,34
PE,33
DO,33
SU,32
NA,32
CI,32
LO,31
LA,31
TO,31
PRE,31
BE,30
SI,30
NE,29
FE,29
PA,28
HY,27
RI,26
CY,26
GA,25
RO,25
CLO,25
ZO,24
ZE,24
MA,23
FO,23
SE,22
LU,21
KE,21
NO,20
SY,20
SA,20
PO,20
SO,20
ZI,19
TI,19
RA,18
FLUO,18
BU,18
BI,17
FLU,17
BA,17
FI,17
VO,17
HE,16
GE,16
ZY,15
MO,15
TRI,15
MY,15
NU,14
XE,14
ZA,14
PI,14
FA,13
HA,13
VY,13
KA,13
RY,12
DU,12
LY,12
PY,12
PHE,12
ACE,11
GLY,11
PRA,11
NY,11
NEU,11
XA,11
BO,11
OXA,11
MU,11
TRE,11
BRI,10
CLI,10
JA,10
AU,10
EPI,9
TY,9
ORA,9
FU,9
TRU,9
ISO,9
BRE,8
ARI,8
DIA,8
TRA,8
PLE,8
ELI,8
HU,8
DRO,8
CLA,7
BRO,7
GO,7
RU,7
YU,7
CHLO,7
KI,7
FLO,7
AZA,7
OXY,7
PRI,7
STE,7
XO,6
XI,6
CHO,6
JU,6
XY,6
GRA,6
CYA,6
TU,6
ADA,6
KO,6
SPI,6
ATO,6
AMI,6
TRO,6
JE,6
WE,6
ETO,5
ESTRA,5
ZU,5
QU,5
GI,5
PHY,5
AVA,5
IBU,5
DAY,5
ANA,5
ERY,5
TRIA,5
INDO,5
EXE,5
ARA,5
GLU,5
UREA,5
AMO,5
CHRO,4
CRE,4
EVE,4
ACCU,4
ADE,4
AZI,4
ALO,4
IO,4
SKY,4
BY,4
ACTI,4
CU,4
ATE,4
STRE,4
OMNI,4
KY,4
OME,4
ABI,4
ERTA,4
THIO,4
DY,4
PRU,4
THY,4
THEO,4
QUE,4
EDA,4
OSE,4
APRE,4
OVA,3
GLO,3
PU,3
ACY,3
TIO,3
ALBE,3
EMTRI,3
XU,3
ONDA,3
FRO,3
IMI,3
ADRE,3
ULTRA,3
ERGO,3
EPLE,3
QUI,3
LEU,3
ITRA,3
ETRA,3
CLE,3
IVA,3
ATA,3
NIA,3
OFLO,3
OXCA,3
EVO,3
ATRO,3
EZE,3
IVE,3
URSO,3
AME,3
YO,3
AMBRI,3
ALI,3
YE,3
GUA,3
AMPI,3
BIO,3
ACI,3
INFLA,3
AVO,3
FY,3
EPO,3
TRY,3
EU,3
ALTA,3
JY,3
NEO,3
