vowel_token,count
NE,436
DE,126
LE,71
CIN,69
TE,69
RA,47
NT,42
TIN,34
ST,34
VIR,30
SE,27
VA,25
NA,24
LIN,20
RT,19
LOL,18
GEN,18
NCE,18
DEX,17
ME,17
SA,16
PTAN,16
ZA,16
TY,16
LA,16
RIN,16
SOL,14
NOL,14
GO,14
TROL,14
STAT,14
TA,14
FEN,14
NIB,14
VI,13
TOL,13
NTIN,13
MA,13
MIN,12
CE,12
RE,12
PAM,12
PA,12
DOL,11
FIL,11
MAX,11
NUM,11
PIN,11
LLIN,11
XIN,11
ND,11
MET,11
NEX,10
LOG,10
XA,10
DO,10
VO,10
STA,10
MUS,10
LAM,10
PRIL,10
DA,10
NZA,9
PT,9
RTAN,9
ROL,9
RO,9
NIL,9
ROX,8
SS,8
ZE,8
RI,8
TRON,8
GEL,8
NZ,8
VY,8
SIN,8
NG,7
VE,7
PRO,7
LAR,7
CT,7
BAN,7
RM,7
SSA,7
TO,7
TAN,6
LO,6
GREL,6
TAM,6
TEC,6
ZZA,6
SCAN,6
LLA,6
SSE,6
SON,6
LLE,6
SI,6
PRAM,6
VIO,6
ZOL,6
SYN,6
CIL,6
DIN,6
RIS,6
LI,6
DIL,6
TOR,6
GA,6
LIS,5
MOD,5
SO,5
DIOL,5
XIL,5
CA,5
PID,5
TRIN,5
DY,5
MAB,5
TIC,5
ZIL,5
CAM,5
LIA,5
ZIN,5
NTA,5
NEM,5
LVI,5
LAN,5
CET,5
CTIN,5
LOR,5
PTIN,5
NTAN,5
MRA,5
NSA,5
MOL,5
STIN,5
VEN,5
RON,5
FOL,5
NAC,5
PHEN,5
TTA,5
UREA,5
BLOC,4
XEL,4
RY,4
LIUM,4
STIM,4
XYL,4
GON,4
LTO,4
RAL,4
TAL,4
FOR,4
FY,4
NIN,4
RIL,4
REM,4
CID,4
RAN,4
NTRA,4
MID,4
MO,4
BA,4
DI,4
TREX,4
PAR,4
DEL,4
BI,4
TH,4
RD,4
LEX,4
FLEX,4
NTI,4
NOIN,4
NON,4
CON,4
VAN,4
XAN,4
STOL,4
GAN,4
MI,4
VIA,4
XIS,3
NOR,3
TOX,3
BE,3
DAN,3
RLI,3
LET,3
PE,3
MPRO,3
DON,3
MBI,3
FOAM,3
VIS,3
LD,3
LIQ,3
CAN,3
NO,3
XX,3
SIC,3
SSIN,3
STO,3
FER,3
LIO,3
VID,3
LON,3
NDA,3
LOX,3
SNA,3
MPIN,3
NTOIN,3
MIB,3
LCET,3
TI,3
CIT,3
KIN,3
VIEW,3
RGAN,3
XIB,3
SP,3
RPH,3
REL,3
PAG,3
NIR,3
MEX,3
PRIM,3
FEM,3
TRAN,3
CLOR,3
LTEON,3
ZID,3
NIUM,3
ZI,3
XEN,3
QUE,3
PRON,3
NYL,3
REG,3
CO,3
TRIOL,3
LL,3
LTA,3
XED,3
REX,3
XY,3
CLO,3
LY,3
BID,3
NI,3
CK,3
FA,3
RF,3
VYX,3
NOX,3
NDI,3
NDYS,3
PLON,3
MVI,3
COR,3
LT,3
LAIR,3
NEL,3
RSA,3
RN,2
ZAM,2
PRA,2
CAR,2
PEX,2
STOR,2
MIUM,2
LZA,2
NIX,2
NTO,2
RSOL,2
XXA,2
LMA,2
RZA,2
LIX,2
NEO,2
TAZ,2
SEC,2
VUS,2
BLUE,2
RIC,2
RTIA,2
ZU,2
MSYS,2
RNA,2
LFAN,2
RTREL,2
REA,2
TRO,2
LVIN,2
TRIQ,2
GIC,2
NDAC,2
TIK,2
ZO,2
PION,2
NGA,2
LTYA,2
MIT,2
JA,2
GNYL,2
PRED,2
BS,2
MVO,2
MYN,2
KIT,2
BIC,2
SIA,2
XIA,2
VAR,2
ZIA,2
GIL,2
QA,2
XXY,2
NQO,2
NZO,2
KO,2
RQUE,2
SIL,2
NIV,2
GIS,2
ROID,2
LLIX,2
CIA,2
NDO,2
LV,2
LDA,2
PS,2
IS,2
CTIV,2
TTE,2
MOX,2
LUX,2
ZYL,2
BRA,2
RCA,2
AIR,2
RCAN,2
SSOR,2
BEX,2
RMIN,2
SYS,2
XAL,2
BO,2
PRI,2
LSTAR,2
TZA,2
VRI,2
MYL,2
GRON,2
LVAY,2
NOS,2
SCEIN,2
CIO,2
MY,2
STON,2
GLAR,2
BIX,2
CEN,2
REN,2
RZI,2
LDI,2
MZA,2
LFLEX,2
RYS,2
LBAM,2
BIF,2
NLA,2
RCE,2
VAZ,2
